"X","Y"
-52.6644686,-31.9027897
-52.5856491,-31.9547465
-52.58582,-31.954754
-52.5516164,-31.9668341
-52.5516164,-31.9668341
-52.5720708,-31.9912221
-52.5720708,-31.9912221
-52.5658885,-31.9995628
-52.5658885,-31.9995628
-52.6661249,-31.9050018
-52.5403994,-32.0152235
-52.5403994,-32.0152235
-52.5219017,-32.0213914
-52.5219017,-32.0213914
-52.5161523,-31.9964674
-52.5175556,-32.003643
-52.3434203,-31.7931519
-52.2874359,-32.0837346
-52.1111916,-32.1092035
-52.2637998,-32.0709455
-52.2666706,-32.0754457
-52.2610454,-32.0749766
-52.168716,-32.1755759
-52.3426088,-31.7937252
-52.1196049,-32.0390688
-52.0951391,-32.0296642
-52.0957545,-32.0416717
-52.0809012,-32.1198699
-52.0811432,-32.1536335
-52.080165,-32.1405467
-52.0797613,-32.1254871
-52.0881179,-32.1297144
-52.4484515,-31.7674723
-52.3599842,-31.7745025
-52.3417576,-31.772557
-52.3384263,-31.7811281
-52.3465339,-31.7788717
-52.3438698,-31.7774163
-52.3376619,-31.7793063
-52.3469876,-31.7764516
-52.3339319,-31.7652204
-52.33339,-31.7816634
-52.3356208,-31.7743971
-52.3290133,-31.7763406
-52.350688,-31.7733234
-52.3264306,-31.7797113
-52.3478349,-31.7784985
-52.3407035,-31.776333
-52.3448442,-31.7815812
-52.3514532,-31.7751056
-52.351563,-31.7759955
-52.3502837,-31.7754659
-52.3366125,-31.7816587
-52.0970353,-32.034513
-52.1082167,-32.0301887
-52.1014347,-32.0395079
-52.0959965,-32.0405151
-52.0883406,-32.0427245
-52.1017526,-32.0315187
-52.0888634,-32.0380834
-52.0963794,-32.030971
-52.0977781,-32.0314975
-52.0881437,-32.0346512
-52.0963794,-32.030971
-52.0998029,-32.0310953
-52.0934364,-32.0472437
-52.1075232,-32.0291995
-52.1027901,-32.0320028
-52.1013224,-32.0385526
-52.099178,-32.0399322
-52.0887005,-32.0345586
-52.0889062,-32.0352556
-52.0942068,-32.0310165
-52.0941922,-32.0297825
-52.0942068,-32.0310165
-52.0927546,-32.037798
-52.1055119,-32.0323778
-52.0917964,-32.0302855
-52.0920015,-32.0312331
-52.0914762,-32.0327849
-52.0997349,-32.0324857
