Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2014-08-31;99.2;15;
2014-09-30;102.4;17.4;
2014-10-31;147.8;19.2;
2014-11-30;54.6;21.7;
2014-12-31;112.4;23.5;
2015-01-31;161;25;
2015-02-28;51.2;24.4;
2015-03-31;44;23.9;
2015-04-30;30.8;21.5;
2015-05-31;230.6;19;
2015-06-30;142.4;15.8;
2015-07-31;313.8;15.6;
2015-08-31;72.2;18.5;
2015-09-30;194.2;16.4;
2015-10-31;292.6;17;
2015-11-30;92.2;19.9;
2015-12-31;128.4;22.5;
2016-01-31;40.4;23.8;
2016-02-29;null;24.2;
2016-03-31;249.8;23;
2016-04-30;164.2;22;
2016-05-31;64;15.5;
2016-06-30;7.6;11.5;
2016-07-31;77;13.3;
2016-08-31;87.6;14.3;
2016-09-30;83;14.3;
2016-10-31;106.4;17.5;
2016-11-30;98.4;19.5;
2016-12-31;156;22.4;
2017-01-31;38.2;24.3;
2017-02-28;70;25.6;
2017-03-31;165.2;23.6;
2017-04-30;64.2;20.3;
2017-05-31;236.4;19;
2017-06-30;64.8;15.9;
2017-07-31;12.4;16.2;
2017-08-31;89.8;17;
2017-09-30;127;18.8;
2017-10-31;285.4;19.1;
2017-11-30;101.6;20.1;
2017-12-31;34;22.4;
2018-01-31;56.8;24.3;
2018-02-28;55.2;23.8;
2018-03-31;152.4;23.1;
2018-04-30;152.8;23.1;
2018-05-31;91.8;18.6;
2018-06-30;109.4;13.3;
2018-07-31;200;13.9;
2018-08-31;96.8;13.6;
2018-09-30;132;17.5;
2018-10-31;87.6;19;
2018-11-30;118.2;21.3;
2018-12-31;34.6;22.3;
2019-01-31;null;null;
2019-02-28;null;null;
2019-03-31;null;null;
2019-04-30;null;null;
2019-05-31;null;null;
2019-06-30;null;null;
2019-07-31;145.6;13.2;
2019-08-31;null;14;
2019-09-30;103.8;15.4;
2019-10-31;null;18.4;
2019-11-30;null;null;
2019-12-31;null;22.7;
2020-01-31;null;24.8;
2020-02-29;46.4;23.5;
2020-03-31;27.2;23.8;
2020-04-30;28.8;20.4;
2020-05-31;null;16.9;
2020-06-30;null;15.5;
2020-07-31;null;null;
2020-08-31;null;null;
2020-09-30;null;null;
2020-10-31;null;null;
2020-11-30;null;null;
2020-12-31;null;null;
2021-01-31;null;null;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;null;null;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;null;null;
2022-07-31;136.6;14.9;
2022-08-31;119;14.5;
2022-09-30;82;15.4;
2022-10-31;80.4;18;
2022-11-30;53;20.2;
2022-12-31;85;22.3;
2023-01-31;36.2;24.4;
2023-02-28;90.2;24.4;
2023-03-31;49;24.8;
2023-04-30;38.6;21;
2023-05-31;174;19;
2023-06-30;156.4;16.4;
2023-07-31;191;15.2;
2023-08-31;70;15.4;
2023-09-30;369;16;
2023-10-31;36;17.5;
2023-11-30;147;19.7;
2023-12-31;146.8;21.6;
2024-01-31;34;23.7;
2024-02-29;62.4;24.3;
2024-03-31;24.8;24.1;
2024-04-30;null;null;
2024-05-31;null;null;
2024-06-30;null;null;
2024-07-31;null;null;
2024-08-31;null;null;

